 szen    pzen  relazm  Refl1        Refl2        TauIn      AefIn
  60.00   0.00   0.00  1.52000E-01  1.79085E-01  0.300E+01   6.00
  60.00   0.00   0.00  2.03300E-01  2.31899E-01  0.400E+01   6.00
  60.00   0.00   0.00  2.49100E-01  2.77178E-01  0.500E+01   6.00
  60.00   0.00   0.00  2.89900E-01  3.16082E-01  0.600E+01   6.00
  60.00   0.00   0.00  3.26300E-01  3.49674E-01  0.700E+01   6.00
  60.00   0.00   0.00  3.58900E-01  3.78820E-01  0.800E+01   6.00
  60.00   0.00   0.00  3.88300E-01  4.04219E-01  0.900E+01   6.00
  60.00   0.00   0.00  4.14800E-01  4.26439E-01  0.100E+02   6.00
  60.00   0.00   0.00  4.38800E-01  4.45949E-01  0.110E+02   6.00
  60.00   0.00   0.00  4.60600E-01  4.63138E-01  0.120E+02   6.00
  60.00   0.00   0.00  4.80500E-01  4.78330E-01  0.130E+02   6.00
  60.00   0.00   0.00  4.98700E-01  4.91797E-01  0.140E+02   6.00
  60.00   0.00   0.00  5.15500E-01  5.03766E-01  0.150E+02   6.00
  60.00   0.00   0.00  5.82100E-01  5.47005E-01  0.200E+02   6.00
  60.00   0.00   0.00  6.29100E-01  5.72437E-01  0.250E+02   6.00
  60.00   0.00   0.00  6.64100E-01  5.87876E-01  0.300E+02   6.00
  60.00   0.00   0.00  6.91200E-01  5.97433E-01  0.350E+02   6.00
  60.00   0.00   0.00  7.12600E-01  6.03420E-01  0.400E+02   6.00
  60.00   0.00   0.00  7.30100E-01  6.07200E-01  0.450E+02   6.00
  60.00   0.00   0.00  7.44600E-01  6.09597E-01  0.500E+02   6.00
  60.00   0.00   0.00  7.56800E-01  6.11122E-01  0.550E+02   6.00
  60.00   0.00   0.00  7.67200E-01  6.12093E-01  0.600E+02   6.00
  60.00   0.00   0.00  7.76100E-01  6.12714E-01  0.650E+02   6.00
  60.00   0.00   0.00  7.83900E-01  6.13110E-01  0.700E+02   6.00
  60.00   0.00   0.00  7.90800E-01  6.13363E-01  0.750E+02   6.00
  60.00   0.00   0.00  7.96900E-01  6.13525E-01  0.800E+02   6.00
  60.00   0.00   0.00  8.02300E-01  6.13628E-01  0.850E+02   6.00
  60.00   0.00   0.00  8.07100E-01  6.13694E-01  0.900E+02   6.00
  60.00   0.00   0.00  8.11400E-01  6.13736E-01  0.950E+02   6.00
  60.00   0.00   0.00  8.15400E-01  6.13763E-01  0.100E+03   6.00
  60.00   0.00   0.00  1.34800E-01  1.43853E-01  0.300E+01  10.00
  60.00   0.00   0.00  1.82800E-01  1.89963E-01  0.400E+01  10.00
  60.00   0.00   0.00  2.26500E-01  2.30147E-01  0.500E+01  10.00
  60.00   0.00   0.00  2.65800E-01  2.65018E-01  0.600E+01  10.00
  60.00   0.00   0.00  3.01200E-01  2.95318E-01  0.700E+01  10.00
  60.00   0.00   0.00  3.33200E-01  3.21711E-01  0.800E+01  10.00
  60.00   0.00   0.00  3.62200E-01  3.44758E-01  0.900E+01  10.00
  60.00   0.00   0.00  3.88500E-01  3.64930E-01  0.100E+02  10.00
  60.00   0.00   0.00  4.12500E-01  3.82624E-01  0.110E+02  10.00
  60.00   0.00   0.00  4.34400E-01  3.98176E-01  0.120E+02  10.00
  60.00   0.00   0.00  4.54500E-01  4.11873E-01  0.130E+02  10.00
  60.00   0.00   0.00  4.73000E-01  4.23957E-01  0.140E+02  10.00
  60.00   0.00   0.00  4.90000E-01  4.34638E-01  0.150E+02  10.00
  60.00   0.00   0.00  5.58400E-01  4.72430E-01  0.200E+02  10.00
  60.00   0.00   0.00  6.07200E-01  4.93616E-01  0.250E+02  10.00
  60.00   0.00   0.00  6.43800E-01  5.05747E-01  0.300E+02  10.00
  60.00   0.00   0.00  6.72100E-01  5.12780E-01  0.350E+02  10.00
  60.00   0.00   0.00  6.94800E-01  5.16889E-01  0.400E+02  10.00
  60.00   0.00   0.00  7.13300E-01  5.19300E-01  0.450E+02  10.00
  60.00   0.00   0.00  7.28600E-01  5.20717E-01  0.500E+02  10.00
  60.00   0.00   0.00  7.41500E-01  5.21553E-01  0.550E+02  10.00
  60.00   0.00   0.00  7.52600E-01  5.22045E-01  0.600E+02  10.00
  60.00   0.00   0.00  7.62100E-01  5.22335E-01  0.650E+02  10.00
  60.00   0.00   0.00  7.70400E-01  5.22507E-01  0.700E+02  10.00
  60.00   0.00   0.00  7.77700E-01  5.22608E-01  0.750E+02  10.00
  60.00   0.00   0.00  7.84100E-01  5.22668E-01  0.800E+02  10.00
  60.00   0.00   0.00  7.89800E-01  5.22703E-01  0.850E+02  10.00
  60.00   0.00   0.00  7.95000E-01  5.22724E-01  0.900E+02  10.00
  60.00   0.00   0.00  7.99600E-01  5.22736E-01  0.950E+02  10.00
  60.00   0.00   0.00  8.03700E-01  5.22743E-01  0.100E+03  10.00
  60.00   0.00   0.00  1.22800E-01  1.21377E-01  0.300E+01  16.00
  60.00   0.00   0.00  1.68500E-01  1.62173E-01  0.400E+01  16.00
  60.00   0.00   0.00  2.10500E-01  1.97850E-01  0.500E+01  16.00
  60.00   0.00   0.00  2.48700E-01  2.28779E-01  0.600E+01  16.00
  60.00   0.00   0.00  2.83300E-01  2.55557E-01  0.700E+01  16.00
  60.00   0.00   0.00  3.14800E-01  2.78761E-01  0.800E+01  16.00
  60.00   0.00   0.00  3.43400E-01  2.98895E-01  0.900E+01  16.00
  60.00   0.00   0.00  3.69600E-01  3.16386E-01  0.100E+02  16.00
  60.00   0.00   0.00  3.93500E-01  3.31600E-01  0.110E+02  16.00
  60.00   0.00   0.00  4.15400E-01  3.44848E-01  0.120E+02  16.00
  60.00   0.00   0.00  4.35600E-01  3.56396E-01  0.130E+02  16.00
  60.00   0.00   0.00  4.54100E-01  3.66474E-01  0.140E+02  16.00
  60.00   0.00   0.00  4.71300E-01  3.75277E-01  0.150E+02  16.00
  60.00   0.00   0.00  5.40600E-01  4.05325E-01  0.200E+02  16.00
  60.00   0.00   0.00  5.90500E-01  4.20967E-01  0.250E+02  16.00
  60.00   0.00   0.00  6.28000E-01  4.29216E-01  0.300E+02  16.00
  60.00   0.00   0.00  6.57200E-01  4.33598E-01  0.350E+02  16.00
  60.00   0.00   0.00  6.80600E-01  4.35936E-01  0.400E+02  16.00
  60.00   0.00   0.00  6.99700E-01  4.37186E-01  0.450E+02  16.00
